name,week,manager,position,roster_position,points,2-PT,Blk Kick,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,Fum Lost,Fum Rec,Fum Ret TD,Int,PAT Made,Pass TD,Pass Yds,Pts Allow,Pts Allow 0,Pts Allow 1-6,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allow 35+,Pts Allow 7-13,Rec,Rec TD,Rec Yds,Ret TD,Rush Att,Rush TD,Rush Yds,Sack,Safe,TD,Targets,XPR
Devonta Freeman,1,David,RB,BN,0.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,0,
Ryan Succop,1,David,K,K,7.0,,,0,0,1,0,0,,,,,4,,,,,,,,,,,,,,,,,,,,,,
San Francisco,1,David,DEF,DEF,10.0,,0,,,,,,,0,,1,,,,33,0,0,0,0,1,0,0,,,,0,,,,3,0,1,,0
Aaron Rodgers,1,Tony Smith,QB,QB,3.32,0,,,,,,,0,,0,2,,0,133,,,,,,,,,0,0,0,0,0,0,0,,,,0,
Calvin Ridley,1,Tony Smith,WR,WR,7.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,5,0,51,0,0,0,0,,,,8,
CeeDee Lamb,1,Tony Smith,WR,WR,19.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,7,1,104,0,0,0,0,,,,15,
Aaron Jones,1,Tony Smith,RB,RB,3.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,2,0,13,0,5,0,9,,,,2,
Chris Carson,1,Tony Smith,RB,RB,11.2,0,,,,,,,1,,0,0,,0,0,,,,,,,,,3,0,26,0,16,0,91,,,,3,
Logan Thomas,1,Tony Smith,TE,TE,10.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,1,30,0,0,0,0,,,,3,
Robert Woods,1,Tony Smith,WR,W/R/T,10.9,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,1,27,0,1,0,7,,,,4,
Deebo Samuel,1,Tony Smith,WR,BN,27.4,0,,,,,,,1,,0,0,,0,0,,,,,,,,,9,1,189,0,0,0,0,,,,12,
Dak Prescott,1,Tony Smith,QB,BN,28.42,0,,,,,,,0,,0,1,,3,403,,,,,,,,,0,0,0,0,4,0,13,,,,0,
Miles Sanders,1,Tony Smith,RB,BN,15.3,1,,,,,,,0,,0,0,,0,0,,,,,,,,,4,0,39,0,15,0,74,,,,5,
Tyler Boyd,1,Tony Smith,WR,BN,4.7,0,,,,,,,0,,0,0,,0,0,,,,,,,,,3,0,32,0,0,0,0,,,,4,
Javonte Williams,1,Tony Smith,RB,BN,4.6,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,-4,0,14,0,45,,,,1,
Dallas Goedert,1,Tony Smith,TE,BN,12.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,1,42,0,0,0,0,,,,5,
Harrison Butker,1,Tony Smith,K,K,10.0,,,0,1,0,1,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Baltimore,1,Tony Smith,DEF,DEF,4.0,,0,,,,,,,0,,1,,,,33,0,0,0,0,1,0,0,,,,0,,,,3,0,0,,0
Tom Brady,1,Joel Gitar,QB,QB,29.16,0,,,,,,,0,,0,2,,4,379,,,,,,,,,0,0,0,0,0,0,0,,,,0,
DK Metcalf,1,Joel Gitar,WR,WR,14.0,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,1,60,0,0,0,0,,,,5,
Terry McLaurin,1,Joel Gitar,WR,WR,8.2,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,0,62,0,0,0,0,,,,4,
Dalvin Cook,1,Joel Gitar,RB,RB,17.4,0,,,,,,,1,,0,0,,0,0,,,,,,,,,6,0,43,0,20,1,61,,,,7,
Najee Harris,1,Joel Gitar,RB,RB,5.4,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,4,0,16,0,45,,,,3,
Kyle Pitts,1,Joel Gitar,TE,TE,5.1,0,,,,,,,0,,0,0,,0,0,,,,,,,,,4,0,31,0,0,0,0,,,,8,
Josh Jacobs,1,Joel Gitar,RB,W/R/T,16.5,0,,,,,,,0,,0,0,,0,0,,,,,,,,,1,0,6,0,10,2,34,,,,2,
